,Company name,Job,Technology or skill,Date
29,Simon James IT Ltd,Android Developer,Expo,23/08/2024
30,J & C Associates Ltd,Mobile Android Developer,Kotlin,21/08/2024
30,J & C Associates Ltd,Mobile Android Developer,Jetpack,21/08/2024
30,J & C Associates Ltd,Mobile Android Developer,XML,21/08/2024
30,J & C Associates Ltd,Mobile Android Developer,MVVM,21/08/2024
30,J & C Associates Ltd,Mobile Android Developer,Agile,21/08/2024
30,J & C Associates Ltd,Mobile Android Developer,Scrum,21/08/2024
30,J & C Associates Ltd,Mobile Android Developer,Azure DevOps,21/08/2024
30,J & C Associates Ltd,Mobile Android Developer,CI/CD,21/08/2024
30,J & C Associates Ltd,Mobile Android Developer,Android Studio,21/08/2024
30,J & C Associates Ltd,Mobile Android Developer,Git,21/08/2024
30,J & C Associates Ltd,Mobile Android Developer,teamwork,21/08/2024
30,J & C Associates Ltd,Mobile Android Developer,integrating Android mobile applications with APIs,21/08/2024
30,J & C Associates Ltd,Mobile Android Developer,5+,21/08/2024
30,J & C Associates Ltd,Mobile Android Developer,Troubleshooting,21/08/2024
31,CV Library,Mobile Android Developer,Kotlin,22/08/2024
31,CV Library,Mobile Android Developer,Jetpack,22/08/2024
31,CV Library,Mobile Android Developer,XML,22/08/2024
31,CV Library,Mobile Android Developer,MVVM,22/08/2024
31,CV Library,Mobile Android Developer,Agile,22/08/2024
31,CV Library,Mobile Android Developer,Scrum,22/08/2024
31,CV Library,Mobile Android Developer,Azure DevOps,22/08/2024
31,CV Library,Mobile Android Developer,CI/CD,22/08/2024
31,CV Library,Mobile Android Developer,Android Studio,22/08/2024
31,CV Library,Mobile Android Developer,Git,22/08/2024
31,CV Library,Mobile Android Developer,teamwork,22/08/2024
31,CV Library,Mobile Android Developer,collaboration,22/08/2024
31,CV Library,Mobile Android Developer,maintenance,22/08/2024
31,CV Library,Mobile Android Developer,bug fixes,22/08/2024
31,CV Library,Mobile Android Developer,integrating Android mobile applications with APIs,22/08/2024
31,CV Library,Mobile Android Developer,released applications,22/08/2024
32,DiSRUPT,Android Developer,communication,26/08/2024
32,DiSRUPT,Android Developer,Git,26/08/2024
32,DiSRUPT,Android Developer,Google Firebase,26/08/2024
32,DiSRUPT,Android Developer,security,26/08/2024
32,DiSRUPT,Android Developer, work independently,26/08/2024
32,DiSRUPT,Android Developer,problem solving,26/08/2024
32,DiSRUPT,Android Developer,collaboration,26/08/2024
32,DiSRUPT,Android Developer,teamwork,26/08/2024
32,DiSRUPT,Android Developer,UX/UI,26/08/2024
32,DiSRUPT,Android Developer,Kotlin,26/08/2024
32,DiSRUPT,Android Developer,Coroutines,26/08/2024
32,DiSRUPT,Android Developer,Compose,26/08/2024
32,DiSRUPT,Android Developer,smartwatch application development,26/08/2024
33,UK Jobs,Mobile Developer – Android,teamwork,26/08/2024
33,UK Jobs,Mobile Developer – Android,UX,26/08/2024
33,UK Jobs,Mobile Developer – Android,Java,26/08/2024
33,UK Jobs,Mobile Developer – Android,Kotlin,26/08/2024
33,UK Jobs,Mobile Developer – Android,RESTful APIs,26/08/2024
33,UK Jobs,Mobile Developer – Android,web services,26/08/2024
33,UK Jobs,Mobile Developer – Android,performance,26/08/2024
